time,open,high,low,close,Volume
2026-02-04 10:30:00,23551.6,23560.84,23473.45,23482.3,708896
2026-02-04 10:35:00,23481.92,23558.15,23431.48,23505.41,1096637
2026-02-04 10:40:00,23508.48,23572.01,23488.08,23512.72,620939
2026-02-04 10:45:00,23517.15,23525.81,23463.44,23473.84,374014
2026-02-04 10:50:00,23471.91,23504.25,23457.66,23482.69,349842
2026-02-04 10:55:00,23480.5,23500.4,23443.03,23461.52,390103
2026-02-04 11:00:00,23461.9,23479.22,23386.44,23387.21,787239
2026-02-04 11:05:00,23387.59,23419.47,23368.54,23381.05,616437
2026-02-04 11:10:00,23379.12,23450.73,23368.73,23424.17,723175
2026-02-04 11:15:00,23423.98,23443.42,23358.91,23369.31,616250
2026-02-04 11:20:00,23367.96,23426.09,23364.11,23423.02,525054
2026-02-04 11:25:00,23423.78,23448.81,23410.31,23441.11,432487
2026-02-04 11:30:00,23443.03,23446.89,23378.74,23378.74,370566
2026-02-04 11:35:00,23380.66,23394.91,23354.41,23355.64,407768
2026-02-04 11:40:00,23353.72,23359.1,23296.5,23300.01,538616
2026-02-04 11:45:00,23299.43,23304.82,23264.78,23275.95,661443
2026-02-04 11:50:00,23275.56,23304.82,23252.84,23304.63,721147
2026-02-04 11:55:00,23304.82,23360.26,23301.35,23353.72,544698
2026-02-04 12:00:00,23352.17,23372.97,23332.73,23360.65,526942
2026-02-04 12:05:00,23362.96,23369.89,23327.53,23336.39,411413
2026-02-04 12:10:00,23336.78,23356.79,23304.82,23347.94,450560
2026-02-04 12:15:00,23347.94,23358.72,23300.75,23302.51,288480
2026-02-04 12:20:00,23301.74,23320.99,23284.8,23295.97,326199
2026-02-04 12:25:00,23296.35,23304.05,23203.18,23215.5,756851
2026-02-04 12:30:00,23215.5,23269.4,23195.29,23211.27,612641
2026-02-04 12:35:00,23210.49,23210.49,23148.12,23148.12,458890
2026-02-04 12:40:00,23146.97,23183.93,23132.34,23180.08,582798
2026-02-04 12:45:00,23180.47,23190.47,23131.18,23142.73,411717
2026-02-04 12:50:00,23143.12,23180.47,23118.09,23175.08,637430
2026-02-04 12:55:00,23174.69,23211.27,23174.69,23203.57,501666
2026-02-04 13:00:00,23203.18,23215.89,23158.91,23191.63,527856
2026-02-04 13:05:00,23192.02,23226.66,23154.28,23154.67,521523
2026-02-04 13:10:00,23154.28,23192.59,23151.97,23180.85,321665
2026-02-04 13:15:00,23181.23,23196.64,23158.14,23163.14,226242
